,example_id,predicted_label,real_label,full_ordering,correct
0,dev-data/mutual/dev/dev_1.txt,B,B,"['B', 'A', 'C', 'D']",True
1,dev-data/mutual/dev/dev_10.txt,A,C,"['A', 'D', 'B', 'C']",False
2,dev-data/mutual/dev/dev_100.txt,A,C,"['A', 'B', 'C', 'D']",False
3,dev-data/mutual/dev/dev_101.txt,A,D,"['A', 'C', 'B', 'D']",False
4,dev-data/mutual/dev/dev_102.txt,A,A,"['A', 'B', 'C', 'D']",True
5,dev-data/mutual/dev/dev_103.txt,A,D,"['A', 'B', 'C', 'D']",False
6,dev-data/mutual/dev/dev_104.txt,C,D,"['C', 'D', 'B', 'A']",False
7,dev-data/mutual/dev/dev_105.txt,C,D,"['C', 'B', 'A', 'D']",False
8,dev-data/mutual/dev/dev_106.txt,D,C,"['D', 'B', 'C', 'A']",False
9,dev-data/mutual/dev/dev_107.txt,A,B,"['A', 'B', 'C', 'D']",False
10,dev-data/mutual/dev/dev_108.txt,B,A,"['B', 'A', 'C', 'D']",False
11,dev-data/mutual/dev/dev_109.txt,A,D,"['A', 'B', 'C', 'D']",False
12,dev-data/mutual/dev/dev_11.txt,A,A,"['A', 'B', 'D', 'C']",True
13,dev-data/mutual/dev/dev_110.txt,A,A,"['A', 'B', 'C', 'D']",True
14,dev-data/mutual/dev/dev_111.txt,A,D,"['A', 'B', 'C', 'D']",False
15,dev-data/mutual/dev/dev_112.txt,A,B,"['A', 'B', 'C', 'D']",False
16,dev-data/mutual/dev/dev_113.txt,A,A,"['A', 'B', 'C', 'D']",True
17,dev-data/mutual/dev/dev_114.txt,A,B,"['A', 'B', 'C', 'D']",False
18,dev-data/mutual/dev/dev_115.txt,D,D,"['D', 'A', 'B', 'C']",True
19,dev-data/mutual/dev/dev_116.txt,C,B,"['C', 'D', 'A', 'B']",False
20,dev-data/mutual/dev/dev_117.txt,A,D,"['A', 'B', 'C', 'D']",False
21,dev-data/mutual/dev/dev_118.txt,A,C,"['A', 'B', 'C', 'D']",False
22,dev-data/mutual/dev/dev_119.txt,C,A,"['C', 'A', 'B', 'D']",False
23,dev-data/mutual/dev/dev_12.txt,A,A,"['A', 'C', 'D', 'B']",True
24,dev-data/mutual/dev/dev_120.txt,A,A,"['A', 'B', 'C', 'D']",True
25,dev-data/mutual/dev/dev_121.txt,A,C,"['A', 'B', 'C', 'D']",False
26,dev-data/mutual/dev/dev_122.txt,A,C,"['A', 'B', 'C', 'D']",False
27,dev-data/mutual/dev/dev_123.txt,A,B,"['A', 'B', 'C', 'D']",False
28,dev-data/mutual/dev/dev_124.txt,D,A,"['D', 'B', 'A', 'C']",False
29,dev-data/mutual/dev/dev_125.txt,D,D,"['D', 'B', 'A', 'C']",True
30,dev-data/mutual/dev/dev_126.txt,A,A,"['A', 'B', 'D', 'C']",True
31,dev-data/mutual/dev/dev_127.txt,B,A,"['B', 'C', 'A', 'D']",False
32,dev-data/mutual/dev/dev_128.txt,C,B,"['C', 'B', 'D', 'A']",False
33,dev-data/mutual/dev/dev_129.txt,A,C,"['A', 'B', 'C', 'D']",False
34,dev-data/mutual/dev/dev_13.txt,A,D,"['A', 'B', 'C', 'D']",False
35,dev-data/mutual/dev/dev_130.txt,B,B,"['B', 'D', 'A', 'C']",True
36,dev-data/mutual/dev/dev_131.txt,A,A,"['A', 'B', 'C', 'D']",True
37,dev-data/mutual/dev/dev_132.txt,A,A,"['A', 'B', 'C', 'D']",True
38,dev-data/mutual/dev/dev_133.txt,B,D,"['B', 'D', 'A', 'C']",False
39,dev-data/mutual/dev/dev_134.txt,A,D,"['A', 'B', 'C', 'D']",False
40,dev-data/mutual/dev/dev_135.txt,C,D,"['C', 'D', 'B', 'A']",False
41,dev-data/mutual/dev/dev_136.txt,A,B,"['A', 'B', 'C', 'D']",False
42,dev-data/mutual/dev/dev_137.txt,A,B,"['A', 'D', 'C', 'B']",False
43,dev-data/mutual/dev/dev_138.txt,D,D,"['D', 'A', 'C', 'B']",True
