,example_id,predicted_label,real_label,full_ordering,correct
0,dev-data/mutual/dev/dev_1.txt,A,B,"['A', 'B', 'D', 'C']",False
1,dev-data/mutual/dev/dev_10.txt,D,C,"['D', 'A', 'B', 'C']",False
2,dev-data/mutual/dev/dev_100.txt,B,C,"['B', 'D', 'A', 'C']",False
3,dev-data/mutual/dev/dev_101.txt,B,D,"['B', 'D', 'C', 'A']",False
4,dev-data/mutual/dev/dev_102.txt,A,A,"['A', 'B', 'D', 'C']",True
5,dev-data/mutual/dev/dev_103.txt,C,D,"['C', 'A', 'D', 'B']",False
6,dev-data/mutual/dev/dev_104.txt,D,D,"['D', 'B', 'A', 'C']",True
7,dev-data/mutual/dev/dev_105.txt,C,D,"['C', 'A', 'B', 'D']",False
8,dev-data/mutual/dev/dev_106.txt,D,C,"['D', 'B', 'A', 'C']",False
9,dev-data/mutual/dev/dev_107.txt,A,B,"['A', 'D', 'C', 'B']",False
10,dev-data/mutual/dev/dev_108.txt,C,A,"['C', 'A', 'D', 'B']",False
11,dev-data/mutual/dev/dev_109.txt,B,D,"['B', 'D', 'C', 'A']",False
12,dev-data/mutual/dev/dev_11.txt,B,A,"['B', 'D', 'A', 'C']",False
13,dev-data/mutual/dev/dev_110.txt,A,A,"['A', 'C', 'B', 'D']",True
14,dev-data/mutual/dev/dev_111.txt,D,D,"['D', 'A', 'C', 'B']",True
15,dev-data/mutual/dev/dev_112.txt,C,B,"['C', 'B', 'D', 'A']",False
16,dev-data/mutual/dev/dev_113.txt,A,A,"['A', 'B', 'C', 'D']",True
17,dev-data/mutual/dev/dev_114.txt,B,B,"['B', 'D', 'A', 'C']",True
18,dev-data/mutual/dev/dev_115.txt,C,D,"['C', 'A', 'D', 'B']",False
19,dev-data/mutual/dev/dev_116.txt,C,B,"['C', 'A', 'D', 'B']",False
20,dev-data/mutual/dev/dev_117.txt,A,D,"['A', 'C', 'B', 'D']",False
21,dev-data/mutual/dev/dev_118.txt,C,C,"['C', 'B', 'A', 'D']",True
22,dev-data/mutual/dev/dev_119.txt,A,A,"['A', 'B', 'D', 'C']",True
23,dev-data/mutual/dev/dev_12.txt,C,A,"['C', 'D', 'B', 'A']",False
24,dev-data/mutual/dev/dev_120.txt,A,A,"['A', 'B', 'C', 'D']",True
25,dev-data/mutual/dev/dev_121.txt,B,C,"['B', 'C', 'D', 'A']",False
26,dev-data/mutual/dev/dev_122.txt,D,C,"['D', 'B', 'A', 'C']",False
27,dev-data/mutual/dev/dev_123.txt,D,B,"['D', 'C', 'B', 'A']",False
28,dev-data/mutual/dev/dev_124.txt,C,A,"['C', 'B', 'A', 'D']",False
29,dev-data/mutual/dev/dev_125.txt,A,D,"['A', 'D', 'B', 'C']",False
30,dev-data/mutual/dev/dev_126.txt,C,A,"['C', 'A', 'B', 'D']",False
31,dev-data/mutual/dev/dev_127.txt,A,A,"['A', 'C', 'D', 'B']",True
32,dev-data/mutual/dev/dev_128.txt,B,B,"['B', 'C', 'D', 'A']",True
33,dev-data/mutual/dev/dev_129.txt,A,C,"['A', 'C', 'B', 'D']",False
34,dev-data/mutual/dev/dev_13.txt,A,D,"['A', 'B', 'C', 'D']",False
35,dev-data/mutual/dev/dev_130.txt,A,B,"['A', 'D', 'B', 'C']",False
36,dev-data/mutual/dev/dev_131.txt,B,A,"['B', 'C', 'D', 'A']",False
37,dev-data/mutual/dev/dev_132.txt,C,A,"['C', 'A', 'D', 'B']",False
38,dev-data/mutual/dev/dev_133.txt,A,D,"['A', 'B', 'D', 'C']",False
39,dev-data/mutual/dev/dev_134.txt,C,D,"['C', 'A', 'D', 'B']",False
40,dev-data/mutual/dev/dev_135.txt,A,D,"['A', 'D', 'C', 'B']",False
41,dev-data/mutual/dev/dev_136.txt,A,B,"['A', 'D', 'B', 'C']",False
42,dev-data/mutual/dev/dev_137.txt,C,B,"['C', 'A', 'D', 'B']",False
43,dev-data/mutual/dev/dev_138.txt,C,D,"['C', 'A', 'B', 'D']",False
44,dev-data/mutual/dev/dev_139.txt,C,D,"['C', 'D', 'A', 'B']",False
45,dev-data/mutual/dev/dev_14.txt,D,C,"['D', 'C', 'B', 'A']",False
46,dev-data/mutual/dev/dev_140.txt,A,C,"['A', 'D', 'B', 'C']",False
47,dev-data/mutual/dev/dev_141.txt,A,B,"['A', 'B', 'C', 'D']",False
48,dev-data/mutual/dev/dev_142.txt,C,C,"['C', 'B', 'A', 'D']",True
49,dev-data/mutual/dev/dev_143.txt,B,A,"['B', 'C', 'D', 'A']",False
50,dev-data/mutual/dev/dev_144.txt,C,D,"['C', 'D', 'B', 'A']",False
51,dev-data/mutual/dev/dev_145.txt,A,D,"['A', 'D', 'B', 'C']",False
52,dev-data/mutual/dev/dev_146.txt,C,A,"['C', 'D', 'A', 'B']",False
53,dev-data/mutual/dev/dev_147.txt,A,A,"['A', 'D', 'B', 'C']",True
54,dev-data/mutual/dev/dev_148.txt,D,C,"['D', 'B', 'A', 'C']",False
55,dev-data/mutual/dev/dev_149.txt,D,B,"['D', 'A', 'C', 'B']",False
56,dev-data/mutual/dev/dev_15.txt,D,D,"['D', 'A', 'C', 'B']",True
