,example_id,predicted_label,real_label,full_ordering,correct
0,dev-data/mutual/dev/dev_1.txt,B,B,"['B', 'C', 'D', 'A']",True
1,dev-data/mutual/dev/dev_10.txt,D,C,"['D', 'B', 'C', 'A']",False
2,dev-data/mutual/dev/dev_100.txt,A,C,"['A', 'C', 'D', 'B']",False
3,dev-data/mutual/dev/dev_101.txt,D,D,"['D', 'B', 'A', 'C']",True
4,dev-data/mutual/dev/dev_102.txt,A,A,"['A', 'C', 'B', 'D']",True
5,dev-data/mutual/dev/dev_103.txt,A,D,"['A', 'D', 'C', 'B']",False
6,dev-data/mutual/dev/dev_104.txt,C,D,"['C', 'D', 'B', 'A']",False
7,dev-data/mutual/dev/dev_105.txt,D,D,"['D', 'B', 'A', 'C']",True
8,dev-data/mutual/dev/dev_106.txt,A,C,"['A', 'B', 'D', 'C']",False
9,dev-data/mutual/dev/dev_107.txt,C,B,"['C', 'D', 'B', 'A']",False
10,dev-data/mutual/dev/dev_108.txt,B,A,"['B', 'D', 'C', 'A']",False
11,dev-data/mutual/dev/dev_109.txt,A,D,"['A', 'C', 'D', 'B']",False
12,dev-data/mutual/dev/dev_11.txt,B,A,"['B', 'C', 'A', 'D']",False
13,dev-data/mutual/dev/dev_110.txt,C,A,"['C', 'A', 'D', 'B']",False
14,dev-data/mutual/dev/dev_111.txt,A,D,"['A', 'B', 'C', 'D']",False
15,dev-data/mutual/dev/dev_112.txt,D,B,"['D', 'C', 'A', 'B']",False
16,dev-data/mutual/dev/dev_113.txt,B,A,"['B', 'D', 'C', 'A']",False
17,dev-data/mutual/dev/dev_114.txt,C,B,"['C', 'A', 'B', 'D']",False
18,dev-data/mutual/dev/dev_115.txt,D,D,"['D', 'C', 'A', 'B']",True
19,dev-data/mutual/dev/dev_116.txt,B,B,"['B', 'D', 'C', 'A']",True
20,dev-data/mutual/dev/dev_117.txt,B,D,"['B', 'D', 'A', 'C']",False
21,dev-data/mutual/dev/dev_118.txt,A,C,"['A', 'B', 'D', 'C']",False
22,dev-data/mutual/dev/dev_119.txt,C,A,"['C', 'D', 'A', 'B']",False
23,dev-data/mutual/dev/dev_12.txt,A,A,"['A', 'D', 'B', 'C']",True
24,dev-data/mutual/dev/dev_120.txt,D,A,"['D', 'C', 'B', 'A']",False
25,dev-data/mutual/dev/dev_121.txt,A,C,"['A', 'C', 'B', 'D']",False
26,dev-data/mutual/dev/dev_122.txt,B,C,"['B', 'C', 'D', 'A']",False
