,example_id,predicted_label,real_label,correct
0,dev-data/mutual/dev/dev_1.txt,B,B,True
1,dev-data/mutual/dev/dev_10.txt,A,C,False
2,dev-data/mutual/dev/dev_100.txt,A,C,False
3,dev-data/mutual/dev/dev_101.txt,B,D,False
4,dev-data/mutual/dev/dev_102.txt,C,A,False
5,dev-data/mutual/dev/dev_103.txt,B,D,False
6,dev-data/mutual/dev/dev_104.txt,C,D,False
7,dev-data/mutual/dev/dev_105.txt,C,D,False
8,dev-data/mutual/dev/dev_106.txt,B,C,False
9,dev-data/mutual/dev/dev_107.txt,B,B,True
10,dev-data/mutual/dev/dev_108.txt,D,A,False
11,dev-data/mutual/dev/dev_109.txt,B,D,False
12,dev-data/mutual/dev/dev_11.txt,D,A,False
13,dev-data/mutual/dev/dev_110.txt,C,A,False
14,dev-data/mutual/dev/dev_111.txt,B,D,False
15,dev-data/mutual/dev/dev_112.txt,C,B,False
16,dev-data/mutual/dev/dev_113.txt,A,A,True
17,dev-data/mutual/dev/dev_114.txt,C,B,False
18,dev-data/mutual/dev/dev_115.txt,C,D,False
19,dev-data/mutual/dev/dev_116.txt,C,B,False
20,dev-data/mutual/dev/dev_117.txt,A,D,False
21,dev-data/mutual/dev/dev_118.txt,C,C,True
22,dev-data/mutual/dev/dev_119.txt,C,A,False
23,dev-data/mutual/dev/dev_12.txt,C,A,False
24,dev-data/mutual/dev/dev_120.txt,C,A,False
25,dev-data/mutual/dev/dev_121.txt,B,C,False
26,dev-data/mutual/dev/dev_122.txt,C,C,True
27,dev-data/mutual/dev/dev_123.txt,A,B,False
28,dev-data/mutual/dev/dev_124.txt,A,A,True
29,dev-data/mutual/dev/dev_125.txt,D,D,True
30,dev-data/mutual/dev/dev_126.txt,C,A,False
31,dev-data/mutual/dev/dev_127.txt,D,A,False
32,dev-data/mutual/dev/dev_128.txt,B,B,True
33,dev-data/mutual/dev/dev_129.txt,A,C,False
34,dev-data/mutual/dev/dev_13.txt,C,D,False
35,dev-data/mutual/dev/dev_130.txt,D,B,False
36,dev-data/mutual/dev/dev_131.txt,C,A,False
37,dev-data/mutual/dev/dev_132.txt,B,A,False
38,dev-data/mutual/dev/dev_133.txt,D,D,True
39,dev-data/mutual/dev/dev_134.txt,B,D,False
40,dev-data/mutual/dev/dev_135.txt,B,D,False
41,dev-data/mutual/dev/dev_136.txt,A,B,False
42,dev-data/mutual/dev/dev_137.txt,D,B,False
43,dev-data/mutual/dev/dev_138.txt,C,D,False
44,dev-data/mutual/dev/dev_139.txt,C,D,False
45,dev-data/mutual/dev/dev_14.txt,C,C,True
46,dev-data/mutual/dev/dev_140.txt,B,C,False
47,dev-data/mutual/dev/dev_141.txt,B,B,True
