,example_id,predicted_label,real_label,full_ordering,correct
0,dev-data/mutual/dev/dev_1.txt,A,B,"['A', 'B', 'C', 'D']",False
1,dev-data/mutual/dev/dev_10.txt,D,C,"['D', 'B', 'A', 'C']",False
2,dev-data/mutual/dev/dev_100.txt,B,C,"['B', 'A', 'C', 'D']",False
3,dev-data/mutual/dev/dev_101.txt,B,D,"['B', 'D', 'A', 'C']",False
4,dev-data/mutual/dev/dev_102.txt,B,A,"['B', 'A', 'C', 'D']",False
5,dev-data/mutual/dev/dev_103.txt,D,D,"['D', 'B', 'A', 'C']",True
6,dev-data/mutual/dev/dev_104.txt,B,D,"['B', 'A', 'D', 'C']",False
7,dev-data/mutual/dev/dev_105.txt,B,D,"['B', 'A', 'C', 'D']",False
8,dev-data/mutual/dev/dev_106.txt,C,C,"['C', 'D', 'B', 'A']",True
9,dev-data/mutual/dev/dev_107.txt,B,B,"['B', 'A', 'D', 'C']",True
10,dev-data/mutual/dev/dev_108.txt,C,A,"['C', 'A', 'B', 'D']",False
11,dev-data/mutual/dev/dev_109.txt,A,D,"['A', 'D', 'C', 'B']",False
12,dev-data/mutual/dev/dev_11.txt,C,A,"['C', 'B', 'D', 'A']",False
13,dev-data/mutual/dev/dev_110.txt,C,A,"['C', 'B', 'A', 'D']",False
14,dev-data/mutual/dev/dev_111.txt,B,D,"['B', 'C', 'A', 'D']",False
15,dev-data/mutual/dev/dev_112.txt,C,B,"['C', 'A', 'D', 'B']",False
16,dev-data/mutual/dev/dev_113.txt,B,A,"['B', 'C', 'D', 'A']",False
17,dev-data/mutual/dev/dev_114.txt,D,B,"['D', 'B', 'C', 'A']",False
18,dev-data/mutual/dev/dev_115.txt,A,D,"['A', 'C', 'D', 'B']",False
19,dev-data/mutual/dev/dev_116.txt,D,B,"['D', 'A', 'C', 'B']",False
20,dev-data/mutual/dev/dev_117.txt,A,D,"['A', 'D', 'B', 'C']",False
21,dev-data/mutual/dev/dev_118.txt,B,C,"['B', 'A', 'C', 'D']",False
