,example_id,predicted_label,real_label,full_ordering,correct
0,dev-data/mutual/dev/dev_1.txt,C,B,"['C', 'B', 'A', 'D']",False
1,dev-data/mutual/dev/dev_10.txt,B,C,"['B', 'D', 'C', 'A']",False
2,dev-data/mutual/dev/dev_100.txt,D,C,"['D', 'B', 'C', 'A']",False
3,dev-data/mutual/dev/dev_101.txt,B,D,"['B', 'D', 'A', 'C']",False
4,dev-data/mutual/dev/dev_102.txt,A,A,"['A', 'C', 'B', 'D']",True
5,dev-data/mutual/dev/dev_103.txt,D,D,"['D', 'C', 'A', 'B']",True
6,dev-data/mutual/dev/dev_104.txt,C,D,"['C', 'D', 'A', 'B']",False
7,dev-data/mutual/dev/dev_105.txt,D,D,"['D', 'A', 'C', 'B']",True
8,dev-data/mutual/dev/dev_106.txt,D,C,"['D', 'A', 'B', 'C']",False
9,dev-data/mutual/dev/dev_107.txt,D,B,"['D', 'C', 'B', 'A']",False
10,dev-data/mutual/dev/dev_108.txt,C,A,"['C', 'B', 'D', 'A']",False
11,dev-data/mutual/dev/dev_109.txt,D,D,"['D', 'B', 'A', 'C']",True
12,dev-data/mutual/dev/dev_11.txt,B,A,"['B', 'D', 'C', 'A']",False
13,dev-data/mutual/dev/dev_110.txt,C,A,"['C', 'D', 'A', 'B']",False
14,dev-data/mutual/dev/dev_111.txt,D,D,"['D', 'C', 'B', 'A']",True
15,dev-data/mutual/dev/dev_112.txt,A,B,"['A', 'B', 'C', 'D']",False
16,dev-data/mutual/dev/dev_113.txt,A,A,"['A', 'B', 'C', 'D']",True
17,dev-data/mutual/dev/dev_114.txt,B,B,"['B', 'C', 'D', 'A']",True
18,dev-data/mutual/dev/dev_115.txt,D,D,"['D', 'B', 'A', 'C']",True
19,dev-data/mutual/dev/dev_116.txt,B,B,"['B', 'A', 'C', 'D']",True
20,dev-data/mutual/dev/dev_117.txt,D,D,"['D', 'C', 'B', 'A']",True
21,dev-data/mutual/dev/dev_118.txt,C,C,"['C', 'D', 'B', 'A']",True
22,dev-data/mutual/dev/dev_119.txt,C,A,"['C', 'B', 'D', 'A']",False
23,dev-data/mutual/dev/dev_12.txt,C,A,"['C', 'D', 'A', 'B']",False
24,dev-data/mutual/dev/dev_120.txt,D,A,"['D', 'A', 'B', 'C']",False
25,dev-data/mutual/dev/dev_121.txt,D,C,"['D', 'C', 'A', 'B']",False
26,dev-data/mutual/dev/dev_122.txt,B,C,"['B', 'C', 'A', 'D']",False
27,dev-data/mutual/dev/dev_123.txt,B,B,"['B', 'A', 'C', 'D']",True
28,dev-data/mutual/dev/dev_124.txt,B,A,"['B', 'C', 'A', 'D']",False
29,dev-data/mutual/dev/dev_125.txt,C,D,"['C', 'B', 'A', 'D']",False
30,dev-data/mutual/dev/dev_126.txt,C,A,"['C', 'A', 'D', 'B']",False
31,dev-data/mutual/dev/dev_127.txt,D,A,"['D', 'B', 'A', 'C']",False
32,dev-data/mutual/dev/dev_128.txt,D,B,"['D', 'C', 'B', 'A']",False
33,dev-data/mutual/dev/dev_129.txt,C,C,"['C', 'B', 'D', 'A']",True
34,dev-data/mutual/dev/dev_13.txt,D,D,"['D', 'A', 'B', 'C']",True
35,dev-data/mutual/dev/dev_130.txt,A,B,"['A', 'B', 'D', 'C']",False
36,dev-data/mutual/dev/dev_131.txt,A,A,"['A', 'B', 'C', 'D']",True
37,dev-data/mutual/dev/dev_132.txt,B,A,"['B', 'D', 'A', 'C']",False
38,dev-data/mutual/dev/dev_133.txt,B,D,"['B', 'C', 'A', 'D']",False
39,dev-data/mutual/dev/dev_134.txt,C,D,"['C', 'A', 'B', 'D']",False
40,dev-data/mutual/dev/dev_135.txt,D,D,"['D', 'A', 'C', 'B']",True
41,dev-data/mutual/dev/dev_136.txt,C,B,"['C', 'D', 'A', 'B']",False
42,dev-data/mutual/dev/dev_137.txt,A,B,"['A', 'D', 'B', 'C']",False
43,dev-data/mutual/dev/dev_138.txt,C,D,"['C', 'A', 'D', 'B']",False
44,dev-data/mutual/dev/dev_139.txt,A,D,"['A', 'B', 'C', 'D']",False
45,dev-data/mutual/dev/dev_14.txt,C,C,"['C', 'D', 'A', 'B']",True
46,dev-data/mutual/dev/dev_140.txt,B,C,"['B', 'D', 'C', 'A']",False
47,dev-data/mutual/dev/dev_141.txt,A,B,"['A', 'B', 'C', 'D']",False
48,dev-data/mutual/dev/dev_142.txt,C,C,"['C', 'D', 'A', 'B']",True
49,dev-data/mutual/dev/dev_143.txt,D,A,"['D', 'B', 'C', 'A']",False
50,dev-data/mutual/dev/dev_144.txt,D,D,"['D', 'C', 'A', 'B']",True
51,dev-data/mutual/dev/dev_145.txt,D,D,"['D', 'A', 'B', 'C']",True
52,dev-data/mutual/dev/dev_146.txt,B,A,"['B', 'C', 'D', 'A']",False
53,dev-data/mutual/dev/dev_147.txt,D,A,"['D', 'C', 'A', 'B']",False
54,dev-data/mutual/dev/dev_148.txt,A,C,"['A', 'B', 'D', 'C']",False
55,dev-data/mutual/dev/dev_149.txt,D,B,"['D', 'B', 'C', 'A']",False
56,dev-data/mutual/dev/dev_15.txt,B,D,"['B', 'D', 'C', 'A']",False
57,dev-data/mutual/dev/dev_150.txt,D,C,"['D', 'C', 'A', 'B']",False
58,dev-data/mutual/dev/dev_151.txt,D,B,"['D', 'C', 'B', 'A']",False
59,dev-data/mutual/dev/dev_152.txt,A,A,"['A', 'D', 'C', 'B']",True
60,dev-data/mutual/dev/dev_153.txt,A,B,"['A', 'D', 'B', 'C']",False
61,dev-data/mutual/dev/dev_154.txt,D,D,"['D', 'A', 'B', 'C']",True
62,dev-data/mutual/dev/dev_155.txt,A,A,"['A', 'C', 'D', 'B']",True
63,dev-data/mutual/dev/dev_156.txt,C,C,"['C', 'D', 'B', 'A']",True
64,dev-data/mutual/dev/dev_157.txt,D,D,"['D', 'C', 'A', 'B']",True
65,dev-data/mutual/dev/dev_158.txt,C,D,"['C', 'B', 'D', 'A']",False
66,dev-data/mutual/dev/dev_159.txt,A,D,"['A', 'C', 'B', 'D']",False
67,dev-data/mutual/dev/dev_16.txt,C,A,"['C', 'D', 'B', 'A']",False
68,dev-data/mutual/dev/dev_160.txt,A,D,"['A', 'C', 'B', 'D']",False
69,dev-data/mutual/dev/dev_161.txt,C,B,"['C', 'A', 'B', 'D']",False
70,dev-data/mutual/dev/dev_162.txt,C,A,"['C', 'D', 'B', 'A']",False
71,dev-data/mutual/dev/dev_163.txt,A,A,"['A', 'B', 'D', 'C']",True
72,dev-data/mutual/dev/dev_164.txt,C,C,"['C', 'B', 'A', 'D']",True
73,dev-data/mutual/dev/dev_165.txt,A,D,"['A', 'D', 'B', 'C']",False
74,dev-data/mutual/dev/dev_166.txt,C,B,"['C', 'B', 'A', 'D']",False
75,dev-data/mutual/dev/dev_167.txt,D,B,"['D', 'B', 'C', 'A']",False
76,dev-data/mutual/dev/dev_168.txt,C,A,"['C', 'D', 'A', 'B']",False
77,dev-data/mutual/dev/dev_169.txt,A,C,"['A', 'D', 'B', 'C']",False
78,dev-data/mutual/dev/dev_17.txt,A,B,"['A', 'C', 'B', 'D']",False
79,dev-data/mutual/dev/dev_170.txt,B,B,"['B', 'D', 'A', 'C']",True
80,dev-data/mutual/dev/dev_171.txt,C,C,"['C', 'B', 'D', 'A']",True
81,dev-data/mutual/dev/dev_172.txt,C,D,"['C', 'B', 'D', 'A']",False
82,dev-data/mutual/dev/dev_173.txt,D,C,"['D', 'C', 'B', 'A']",False
83,dev-data/mutual/dev/dev_174.txt,D,D,"['D', 'C', 'B', 'A']",True
84,dev-data/mutual/dev/dev_175.txt,A,D,"['A', 'B', 'D', 'C']",False
85,dev-data/mutual/dev/dev_176.txt,B,C,"['B', 'C', 'D', 'A']",False
86,dev-data/mutual/dev/dev_177.txt,D,B,"['D', 'A', 'B', 'C']",False
87,dev-data/mutual/dev/dev_178.txt,B,A,"['B', 'D', 'C', 'A']",False
88,dev-data/mutual/dev/dev_179.txt,B,A,"['B', 'C', 'A', 'D']",False
89,dev-data/mutual/dev/dev_18.txt,C,D,"['C', 'B', 'A', 'D']",False
90,dev-data/mutual/dev/dev_180.txt,A,C,"['A', 'B', 'C', 'D']",False
91,dev-data/mutual/dev/dev_181.txt,A,D,"['A', 'D', 'B', 'C']",False
92,dev-data/mutual/dev/dev_182.txt,B,B,"['B', 'C', 'D', 'A']",True
93,dev-data/mutual/dev/dev_183.txt,D,D,"['D', 'B', 'C', 'A']",True
94,dev-data/mutual/dev/dev_184.txt,B,B,"['B', 'C', 'A', 'D']",True
95,dev-data/mutual/dev/dev_185.txt,A,B,"['A', 'D', 'B', 'C']",False
96,dev-data/mutual/dev/dev_186.txt,A,C,"['A', 'D', 'C', 'B']",False
97,dev-data/mutual/dev/dev_187.txt,A,A,"['A', 'B', 'D', 'C']",True
98,dev-data/mutual/dev/dev_188.txt,D,D,"['D', 'C', 'B', 'A']",True
99,dev-data/mutual/dev/dev_189.txt,D,D,"['D', 'C', 'A', 'B']",True
100,dev-data/mutual/dev/dev_19.txt,D,C,"['D', 'C', 'A', 'B']",False
101,dev-data/mutual/dev/dev_190.txt,B,A,"['B', 'D', 'A', 'C']",False
102,dev-data/mutual/dev/dev_191.txt,B,A,"['B', 'A', 'D', 'C']",False
103,dev-data/mutual/dev/dev_192.txt,C,C,"['C', 'B', 'A', 'D']",True
104,dev-data/mutual/dev/dev_193.txt,A,A,"['A', 'D', 'B', 'C']",True
105,dev-data/mutual/dev/dev_194.txt,B,C,"['B', 'C', 'D', 'A']",False
106,dev-data/mutual/dev/dev_195.txt,B,D,"['B', 'D', 'A', 'C']",False
107,dev-data/mutual/dev/dev_196.txt,D,C,"['D', 'A', 'C', 'B']",False
108,dev-data/mutual/dev/dev_197.txt,A,D,"['A', 'C', 'B', 'D']",False
109,dev-data/mutual/dev/dev_198.txt,A,A,"['A', 'D', 'B', 'C']",True
110,dev-data/mutual/dev/dev_199.txt,D,C,"['D', 'C', 'B', 'A']",False
111,dev-data/mutual/dev/dev_2.txt,B,C,"['B', 'C', 'D', 'A']",False
112,dev-data/mutual/dev/dev_20.txt,D,C,"['D', 'A', 'B', 'C']",False
113,dev-data/mutual/dev/dev_200.txt,A,C,"['A', 'B', 'C', 'D']",False
114,dev-data/mutual/dev/dev_201.txt,A,C,"['A', 'D', 'C', 'B']",False
115,dev-data/mutual/dev/dev_202.txt,A,C,"['A', 'B', 'C', 'D']",False
116,dev-data/mutual/dev/dev_203.txt,A,A,"['A', 'D', 'C', 'B']",True
117,dev-data/mutual/dev/dev_204.txt,C,B,"['C', 'A', 'D', 'B']",False
118,dev-data/mutual/dev/dev_205.txt,C,A,"['C', 'A', 'B', 'D']",False
119,dev-data/mutual/dev/dev_206.txt,D,D,"['D', 'A', 'C', 'B']",True
120,dev-data/mutual/dev/dev_207.txt,C,A,"['C', 'D', 'A', 'B']",False
121,dev-data/mutual/dev/dev_208.txt,C,B,"['C', 'B', 'D', 'A']",False
