,example_id,predicted_label,real_label,full_ordering,correct
0,dev-data/mutual/dev/dev_1.txt,D,B,"['D', 'C', 'A', 'B']",False
1,dev-data/mutual/dev/dev_10.txt,B,C,"['B', 'D', 'A', 'C']",False
2,dev-data/mutual/dev/dev_100.txt,B,C,"['B', 'D', 'A', 'C']",False
3,dev-data/mutual/dev/dev_101.txt,D,D,"['D', 'A', 'C', 'B']",True
4,dev-data/mutual/dev/dev_102.txt,D,A,"['D', 'C', 'A', 'B']",False
5,dev-data/mutual/dev/dev_103.txt,D,D,"['D', 'B', 'C', 'A']",True
6,dev-data/mutual/dev/dev_104.txt,A,D,"['A', 'B', 'D', 'C']",False
7,dev-data/mutual/dev/dev_105.txt,C,D,"['C', 'D', 'B', 'A']",False
8,dev-data/mutual/dev/dev_106.txt,B,C,"['B', 'D', 'C', 'A']",False
9,dev-data/mutual/dev/dev_107.txt,C,B,"['C', 'A', 'D', 'B']",False
10,dev-data/mutual/dev/dev_108.txt,D,A,"['D', 'A', 'C', 'B']",False
11,dev-data/mutual/dev/dev_109.txt,D,D,"['D', 'B', 'C', 'A']",True
12,dev-data/mutual/dev/dev_11.txt,C,A,"['C', 'A', 'B', 'D']",False
13,dev-data/mutual/dev/dev_110.txt,A,A,"['A', 'C', 'B', 'D']",True
14,dev-data/mutual/dev/dev_111.txt,C,D,"['C', 'A', 'B', 'D']",False
15,dev-data/mutual/dev/dev_112.txt,A,B,"['A', 'B', 'C', 'D']",False
16,dev-data/mutual/dev/dev_113.txt,A,A,"['A', 'B', 'C', 'D']",True
17,dev-data/mutual/dev/dev_114.txt,D,B,"['D', 'C', 'A', 'B']",False
18,dev-data/mutual/dev/dev_115.txt,D,D,"['D', 'C', 'B', 'A']",True
19,dev-data/mutual/dev/dev_116.txt,B,B,"['B', 'A', 'C', 'D']",True
20,dev-data/mutual/dev/dev_117.txt,C,D,"['C', 'B', 'D', 'A']",False
21,dev-data/mutual/dev/dev_118.txt,C,C,"['C', 'B', 'D', 'A']",True
22,dev-data/mutual/dev/dev_119.txt,A,A,"['A', 'D', 'B', 'C']",True
23,dev-data/mutual/dev/dev_12.txt,B,A,"['B', 'D', 'A', 'C']",False
24,dev-data/mutual/dev/dev_120.txt,D,A,"['D', 'B', 'C', 'A']",False
25,dev-data/mutual/dev/dev_121.txt,A,C,"['A', 'C', 'D', 'B']",False
26,dev-data/mutual/dev/dev_122.txt,D,C,"['D', 'A', 'C', 'B']",False
27,dev-data/mutual/dev/dev_123.txt,C,B,"['C', 'A', 'D', 'B']",False
28,dev-data/mutual/dev/dev_124.txt,B,A,"['B', 'D', 'C', 'A']",False
29,dev-data/mutual/dev/dev_125.txt,C,D,"['C', 'A', 'D', 'B']",False
30,dev-data/mutual/dev/dev_126.txt,B,A,"['B', 'D', 'A', 'C']",False
31,dev-data/mutual/dev/dev_127.txt,B,A,"['B', 'A', 'D', 'C']",False
32,dev-data/mutual/dev/dev_128.txt,B,B,"['B', 'C', 'D', 'A']",True
33,dev-data/mutual/dev/dev_129.txt,B,C,"['B', 'A', 'C', 'D']",False
34,dev-data/mutual/dev/dev_13.txt,B,D,"['B', 'C', 'D', 'A']",False
35,dev-data/mutual/dev/dev_130.txt,D,B,"['D', 'B', 'A', 'C']",False
36,dev-data/mutual/dev/dev_131.txt,D,A,"['D', 'C', 'A', 'B']",False
37,dev-data/mutual/dev/dev_132.txt,D,A,"['D', 'B', 'C', 'A']",False
38,dev-data/mutual/dev/dev_133.txt,B,D,"['B', 'A', 'C', 'D']",False
39,dev-data/mutual/dev/dev_134.txt,D,D,"['D', 'A', 'B', 'C']",True
40,dev-data/mutual/dev/dev_135.txt,C,D,"['C', 'D', 'A', 'B']",False
41,dev-data/mutual/dev/dev_136.txt,A,B,"['A', 'B', 'D', 'C']",False
42,dev-data/mutual/dev/dev_137.txt,C,B,"['C', 'A', 'B', 'D']",False
