,example_id,predicted_label,real_label,full_ordering,correct
0,dev-data/mutual/dev/dev_1.txt,B,B,"['B', 'A', 'C', 'D']",True
1,dev-data/mutual/dev/dev_10.txt,B,C,"['B', 'D', 'C', 'A']",False
2,dev-data/mutual/dev/dev_100.txt,A,C,"['A', 'B', 'C', 'D']",False
3,dev-data/mutual/dev/dev_101.txt,A,D,"['A', 'C', 'B', 'D']",False
4,dev-data/mutual/dev/dev_102.txt,C,A,"['C', 'B', 'A', 'D']",False
5,dev-data/mutual/dev/dev_103.txt,B,D,"['B', 'D', 'C', 'A']",False
6,dev-data/mutual/dev/dev_104.txt,B,D,"['B', 'A', 'D', 'C']",False
7,dev-data/mutual/dev/dev_105.txt,D,D,"['D', 'B', 'A', 'C']",True
8,dev-data/mutual/dev/dev_106.txt,C,C,"['C', 'B', 'A', 'D']",True
9,dev-data/mutual/dev/dev_107.txt,C,B,"['C', 'A', 'B', 'D']",False
10,dev-data/mutual/dev/dev_108.txt,A,A,"['A', 'D', 'B', 'C']",True
11,dev-data/mutual/dev/dev_109.txt,B,D,"['B', 'C', 'D', 'A']",False
12,dev-data/mutual/dev/dev_11.txt,A,A,"['A', 'D', 'B', 'C']",True
13,dev-data/mutual/dev/dev_110.txt,B,A,"['B', 'C', 'A', 'D']",False
14,dev-data/mutual/dev/dev_111.txt,A,D,"['A', 'D', 'C', 'B']",False
15,dev-data/mutual/dev/dev_112.txt,C,B,"['C', 'D', 'B', 'A']",False
16,dev-data/mutual/dev/dev_113.txt,B,A,"['B', 'C', 'A', 'D']",False
17,dev-data/mutual/dev/dev_114.txt,D,B,"['D', 'B', 'A', 'C']",False
18,dev-data/mutual/dev/dev_115.txt,A,D,"['A', 'B', 'D', 'C']",False
19,dev-data/mutual/dev/dev_116.txt,A,B,"['A', 'D', 'C', 'B']",False
20,dev-data/mutual/dev/dev_117.txt,D,D,"['D', 'B', 'A', 'C']",True
21,dev-data/mutual/dev/dev_118.txt,D,C,"['D', 'A', 'B', 'C']",False
22,dev-data/mutual/dev/dev_119.txt,C,A,"['C', 'A', 'D', 'B']",False
23,dev-data/mutual/dev/dev_12.txt,B,A,"['B', 'A', 'C', 'D']",False
24,dev-data/mutual/dev/dev_120.txt,A,A,"['A', 'B', 'C', 'D']",True
25,dev-data/mutual/dev/dev_121.txt,C,C,"['C', 'B', 'A', 'D']",True
26,dev-data/mutual/dev/dev_122.txt,C,C,"['C', 'B', 'D', 'A']",True
27,dev-data/mutual/dev/dev_123.txt,A,B,"['A', 'C', 'D', 'B']",False
28,dev-data/mutual/dev/dev_124.txt,B,A,"['B', 'C', 'D', 'A']",False
29,dev-data/mutual/dev/dev_125.txt,C,D,"['C', 'A', 'D', 'B']",False
30,dev-data/mutual/dev/dev_126.txt,B,A,"['B', 'C', 'A', 'D']",False
31,dev-data/mutual/dev/dev_127.txt,C,A,"['C', 'B', 'D', 'A']",False
32,dev-data/mutual/dev/dev_128.txt,C,B,"['C', 'D', 'A', 'B']",False
33,dev-data/mutual/dev/dev_129.txt,A,C,"['A', 'B', 'C', 'D']",False
34,dev-data/mutual/dev/dev_13.txt,C,D,"['C', 'B', 'D', 'A']",False
35,dev-data/mutual/dev/dev_130.txt,C,B,"['C', 'A', 'B', 'D']",False
36,dev-data/mutual/dev/dev_131.txt,D,A,"['D', 'C', 'A', 'B']",False
37,dev-data/mutual/dev/dev_132.txt,D,A,"['D', 'A', 'C', 'B']",False
38,dev-data/mutual/dev/dev_133.txt,C,D,"['C', 'B', 'D', 'A']",False
39,dev-data/mutual/dev/dev_134.txt,C,D,"['C', 'B', 'D', 'A']",False
40,dev-data/mutual/dev/dev_135.txt,D,D,"['D', 'A', 'B', 'C']",True
41,dev-data/mutual/dev/dev_136.txt,C,B,"['C', 'A', 'B', 'D']",False
42,dev-data/mutual/dev/dev_137.txt,B,B,"['B', 'D', 'A', 'C']",True
43,dev-data/mutual/dev/dev_138.txt,A,D,"['A', 'C', 'B', 'D']",False
44,dev-data/mutual/dev/dev_139.txt,A,D,"['A', 'D', 'B', 'C']",False
45,dev-data/mutual/dev/dev_14.txt,A,C,"['A', 'B', 'C', 'D']",False
46,dev-data/mutual/dev/dev_140.txt,C,C,"['C', 'A', 'D', 'B']",True
47,dev-data/mutual/dev/dev_141.txt,D,B,"['D', 'B', 'C', 'A']",False
48,dev-data/mutual/dev/dev_142.txt,A,C,"['A', 'B', 'C', 'D']",False
49,dev-data/mutual/dev/dev_143.txt,D,A,"['D', 'A', 'B', 'C']",False
50,dev-data/mutual/dev/dev_144.txt,B,D,"['B', 'D', 'C', 'A']",False
51,dev-data/mutual/dev/dev_145.txt,D,D,"['D', 'B', 'A', 'C']",True
52,dev-data/mutual/dev/dev_146.txt,B,A,"['B', 'A', 'C', 'D']",False
53,dev-data/mutual/dev/dev_147.txt,C,A,"['C', 'A', 'B', 'D']",False
54,dev-data/mutual/dev/dev_148.txt,C,C,"['C', 'D', 'B', 'A']",True
55,dev-data/mutual/dev/dev_149.txt,B,B,"['B', 'A', 'D', 'C']",True
56,dev-data/mutual/dev/dev_15.txt,D,D,"['D', 'A', 'B', 'C']",True
57,dev-data/mutual/dev/dev_150.txt,B,C,"['B', 'A', 'D', 'C']",False
58,dev-data/mutual/dev/dev_151.txt,A,B,"['A', 'D', 'B', 'C']",False
59,dev-data/mutual/dev/dev_152.txt,A,A,"['A', 'D', 'B', 'C']",True
60,dev-data/mutual/dev/dev_153.txt,C,B,"['C', 'B', 'A', 'D']",False
61,dev-data/mutual/dev/dev_154.txt,C,D,"['C', 'B', 'D', 'A']",False
62,dev-data/mutual/dev/dev_155.txt,A,A,"['A', 'B', 'C', 'D']",True
63,dev-data/mutual/dev/dev_156.txt,C,C,"['C', 'D', 'A', 'B']",True
64,dev-data/mutual/dev/dev_157.txt,D,D,"['D', 'C', 'B', 'A']",True
65,dev-data/mutual/dev/dev_158.txt,A,D,"['A', 'C', 'B', 'D']",False
66,dev-data/mutual/dev/dev_159.txt,B,D,"['B', 'D', 'A', 'C']",False
67,dev-data/mutual/dev/dev_16.txt,D,A,"['D', 'A', 'B', 'C']",False
68,dev-data/mutual/dev/dev_160.txt,A,D,"['A', 'C', 'B', 'D']",False
