,example_id,predicted_label,real_label,full_ordering,correct
0,dev-data/mutual/dev/dev_1.txt,A,B,"['A', 'B', 'D', 'C']",False
1,dev-data/mutual/dev/dev_10.txt,A,C,"['A', 'D', 'C', 'B']",False
2,dev-data/mutual/dev/dev_100.txt,A,C,"['A', 'B', 'C', 'D']",False
3,dev-data/mutual/dev/dev_101.txt,B,D,"['B', 'D', 'A', 'C']",False
4,dev-data/mutual/dev/dev_102.txt,C,A,"['C', 'A', 'B', 'D']",False
5,dev-data/mutual/dev/dev_103.txt,A,D,"['A', 'C', 'B', 'D']",False
6,dev-data/mutual/dev/dev_104.txt,B,D,"['B', 'A', 'C', 'D']",False
7,dev-data/mutual/dev/dev_105.txt,B,D,"['B', 'C', 'D', 'A']",False
8,dev-data/mutual/dev/dev_106.txt,C,C,"['C', 'B', 'A', 'D']",True
9,dev-data/mutual/dev/dev_107.txt,C,B,"['C', 'A', 'B', 'D']",False
10,dev-data/mutual/dev/dev_108.txt,A,A,"['A', 'B', 'D', 'C']",True
11,dev-data/mutual/dev/dev_109.txt,B,D,"['B', 'C', 'D', 'A']",False
12,dev-data/mutual/dev/dev_11.txt,B,A,"['B', 'D', 'C', 'A']",False
13,dev-data/mutual/dev/dev_110.txt,C,A,"['C', 'B', 'A', 'D']",False
14,dev-data/mutual/dev/dev_111.txt,B,D,"['B', 'A', 'D', 'C']",False
15,dev-data/mutual/dev/dev_112.txt,B,B,"['B', 'C', 'A', 'D']",True
16,dev-data/mutual/dev/dev_113.txt,A,A,"['A', 'B', 'D', 'C']",True
17,dev-data/mutual/dev/dev_114.txt,B,B,"['B', 'A', 'D', 'C']",True
18,dev-data/mutual/dev/dev_115.txt,A,D,"['A', 'B', 'D', 'C']",False
19,dev-data/mutual/dev/dev_116.txt,C,B,"['C', 'B', 'D', 'A']",False
20,dev-data/mutual/dev/dev_117.txt,D,D,"['D', 'A', 'B', 'C']",True
21,dev-data/mutual/dev/dev_118.txt,B,C,"['B', 'D', 'A', 'C']",False
22,dev-data/mutual/dev/dev_119.txt,D,A,"['D', 'C', 'B', 'A']",False
23,dev-data/mutual/dev/dev_12.txt,D,A,"['D', 'C', 'B', 'A']",False
24,dev-data/mutual/dev/dev_120.txt,C,A,"['C', 'A', 'B', 'D']",False
25,dev-data/mutual/dev/dev_121.txt,B,C,"['B', 'A', 'C', 'D']",False
26,dev-data/mutual/dev/dev_122.txt,B,C,"['B', 'C', 'A', 'D']",False
27,dev-data/mutual/dev/dev_123.txt,A,B,"['A', 'B', 'C', 'D']",False
28,dev-data/mutual/dev/dev_124.txt,B,A,"['B', 'C', 'D', 'A']",False
29,dev-data/mutual/dev/dev_125.txt,D,D,"['D', 'A', 'B', 'C']",True
30,dev-data/mutual/dev/dev_126.txt,C,A,"['C', 'B', 'A', 'D']",False
31,dev-data/mutual/dev/dev_127.txt,C,A,"['C', 'A', 'B', 'D']",False
32,dev-data/mutual/dev/dev_128.txt,A,B,"['A', 'C', 'D', 'B']",False
33,dev-data/mutual/dev/dev_129.txt,B,C,"['B', 'A', 'C', 'D']",False
34,dev-data/mutual/dev/dev_13.txt,D,D,"['D', 'C', 'A', 'B']",True
35,dev-data/mutual/dev/dev_130.txt,C,B,"['C', 'A', 'D', 'B']",False
36,dev-data/mutual/dev/dev_131.txt,D,A,"['D', 'A', 'C', 'B']",False
37,dev-data/mutual/dev/dev_132.txt,B,A,"['B', 'D', 'A', 'C']",False
38,dev-data/mutual/dev/dev_133.txt,A,D,"['A', 'B', 'C', 'D']",False
39,dev-data/mutual/dev/dev_134.txt,D,D,"['D', 'C', 'A', 'B']",True
40,dev-data/mutual/dev/dev_135.txt,D,D,"['D', 'C', 'B', 'A']",True
41,dev-data/mutual/dev/dev_136.txt,A,B,"['A', 'D', 'B', 'C']",False
42,dev-data/mutual/dev/dev_137.txt,B,B,"['B', 'C', 'D', 'A']",True
43,dev-data/mutual/dev/dev_138.txt,A,D,"['A', 'C', 'B', 'D']",False
44,dev-data/mutual/dev/dev_139.txt,B,D,"['B', 'A', 'D', 'C']",False
45,dev-data/mutual/dev/dev_14.txt,A,C,"['A', 'C', 'D', 'B']",False
46,dev-data/mutual/dev/dev_140.txt,A,C,"['A', 'C', 'B', 'D']",False
47,dev-data/mutual/dev/dev_141.txt,A,B,"['A', 'D', 'C', 'B']",False
48,dev-data/mutual/dev/dev_142.txt,B,C,"['B', 'A', 'C', 'D']",False
49,dev-data/mutual/dev/dev_143.txt,B,A,"['B', 'C', 'A', 'D']",False
50,dev-data/mutual/dev/dev_144.txt,A,D,"['A', 'D', 'C', 'B']",False
51,dev-data/mutual/dev/dev_145.txt,B,D,"['B', 'D', 'A', 'C']",False
52,dev-data/mutual/dev/dev_146.txt,A,A,"['A', 'D', 'C', 'B']",True
53,dev-data/mutual/dev/dev_147.txt,A,A,"['A', 'C', 'B', 'D']",True
54,dev-data/mutual/dev/dev_148.txt,C,C,"['C', 'D', 'B', 'A']",True
55,dev-data/mutual/dev/dev_149.txt,A,B,"['A', 'C', 'B', 'D']",False
56,dev-data/mutual/dev/dev_15.txt,D,D,"['D', 'A', 'B', 'C']",True
57,dev-data/mutual/dev/dev_150.txt,A,C,"['A', 'B', 'D', 'C']",False
58,dev-data/mutual/dev/dev_151.txt,A,B,"['A', 'C', 'B', 'D']",False
59,dev-data/mutual/dev/dev_152.txt,A,A,"['A', 'C', 'B', 'D']",True
60,dev-data/mutual/dev/dev_153.txt,C,B,"['C', 'B', 'A', 'D']",False
61,dev-data/mutual/dev/dev_154.txt,C,D,"['C', 'B', 'A', 'D']",False
62,dev-data/mutual/dev/dev_155.txt,D,A,"['D', 'C', 'A', 'B']",False
63,dev-data/mutual/dev/dev_156.txt,C,C,"['C', 'B', 'D', 'A']",True
64,dev-data/mutual/dev/dev_157.txt,D,D,"['D', 'B', 'C', 'A']",True
65,dev-data/mutual/dev/dev_158.txt,C,D,"['C', 'A', 'D', 'B']",False
66,dev-data/mutual/dev/dev_159.txt,D,D,"['D', 'B', 'A', 'C']",True
67,dev-data/mutual/dev/dev_16.txt,A,A,"['A', 'D', 'B', 'C']",True
68,dev-data/mutual/dev/dev_160.txt,A,D,"['A', 'C', 'B', 'D']",False
69,dev-data/mutual/dev/dev_161.txt,B,B,"['B', 'A', 'D', 'C']",True
70,dev-data/mutual/dev/dev_162.txt,B,A,"['B', 'A', 'C', 'D']",False
71,dev-data/mutual/dev/dev_163.txt,D,A,"['D', 'B', 'A', 'C']",False
72,dev-data/mutual/dev/dev_164.txt,A,C,"['A', 'C', 'B', 'D']",False
73,dev-data/mutual/dev/dev_165.txt,A,D,"['A', 'D', 'C', 'B']",False
74,dev-data/mutual/dev/dev_166.txt,B,B,"['B', 'C', 'D', 'A']",True
75,dev-data/mutual/dev/dev_167.txt,D,B,"['D', 'A', 'B', 'C']",False
