,example_id,predicted_label,real_label,full_ordering,correct
0,dev-data/mutual/dev/dev_1.txt,C,B,"['C', 'A', 'D', 'B']",False
1,dev-data/mutual/dev/dev_10.txt,D,C,"['D', 'C', 'A', 'B']",False
2,dev-data/mutual/dev/dev_100.txt,C,C,"['C', 'D', 'A', 'B']",True
3,dev-data/mutual/dev/dev_101.txt,A,D,"['A', 'C', 'D', 'B']",False
4,dev-data/mutual/dev/dev_102.txt,D,A,"['D', 'A', 'C', 'B']",False
5,dev-data/mutual/dev/dev_103.txt,D,D,"['D', 'B', 'A', 'C']",True
6,dev-data/mutual/dev/dev_104.txt,B,D,"['B', 'A', 'C', 'D']",False
7,dev-data/mutual/dev/dev_105.txt,A,D,"['A', 'B', 'C', 'D']",False
8,dev-data/mutual/dev/dev_106.txt,C,C,"['C', 'B', 'D', 'A']",True
9,dev-data/mutual/dev/dev_107.txt,B,B,"['B', 'D', 'C', 'A']",True
10,dev-data/mutual/dev/dev_108.txt,A,A,"['A', 'B', 'D', 'C']",True
11,dev-data/mutual/dev/dev_109.txt,B,D,"['B', 'A', 'D', 'C']",False
12,dev-data/mutual/dev/dev_11.txt,C,A,"['C', 'A', 'B', 'D']",False
13,dev-data/mutual/dev/dev_110.txt,B,A,"['B', 'D', 'C', 'A']",False
14,dev-data/mutual/dev/dev_111.txt,B,D,"['B', 'C', 'D', 'A']",False
15,dev-data/mutual/dev/dev_112.txt,D,B,"['D', 'B', 'C', 'A']",False
16,dev-data/mutual/dev/dev_113.txt,B,A,"['B', 'D', 'C', 'A']",False
17,dev-data/mutual/dev/dev_114.txt,D,B,"['D', 'A', 'B', 'C']",False
18,dev-data/mutual/dev/dev_115.txt,A,D,"['A', 'B', 'D', 'C']",False
19,dev-data/mutual/dev/dev_116.txt,D,B,"['D', 'B', 'A', 'C']",False
20,dev-data/mutual/dev/dev_117.txt,B,D,"['B', 'C', 'D', 'A']",False
21,dev-data/mutual/dev/dev_118.txt,D,C,"['D', 'C', 'A', 'B']",False
22,dev-data/mutual/dev/dev_119.txt,D,A,"['D', 'B', 'C', 'A']",False
23,dev-data/mutual/dev/dev_12.txt,D,A,"['D', 'B', 'A', 'C']",False
24,dev-data/mutual/dev/dev_120.txt,A,A,"['A', 'D', 'C', 'B']",True
25,dev-data/mutual/dev/dev_121.txt,D,C,"['D', 'C', 'A', 'B']",False
26,dev-data/mutual/dev/dev_122.txt,A,C,"['A', 'C', 'D', 'B']",False
27,dev-data/mutual/dev/dev_123.txt,D,B,"['D', 'A', 'C', 'B']",False
28,dev-data/mutual/dev/dev_124.txt,D,A,"['D', 'B', 'C', 'A']",False
29,dev-data/mutual/dev/dev_125.txt,D,D,"['D', 'A', 'C', 'B']",True
30,dev-data/mutual/dev/dev_126.txt,B,A,"['B', 'C', 'A', 'D']",False
31,dev-data/mutual/dev/dev_127.txt,C,A,"['C', 'B', 'A', 'D']",False
32,dev-data/mutual/dev/dev_128.txt,D,B,"['D', 'A', 'C', 'B']",False
33,dev-data/mutual/dev/dev_129.txt,D,C,"['D', 'C', 'A', 'B']",False
