,example_id,predicted_label,real_label,full_ordering,correct
0,dev-data/mutual/dev/dev_1.txt,A,B,"['A', 'D', 'C', 'B']",False
1,dev-data/mutual/dev/dev_10.txt,D,C,"['D', 'B', 'C', 'A']",False
2,dev-data/mutual/dev/dev_100.txt,A,C,"['A', 'B', 'D', 'C']",False
3,dev-data/mutual/dev/dev_101.txt,C,D,"['C', 'A', 'B', 'D']",False
4,dev-data/mutual/dev/dev_102.txt,A,A,"['A', 'C', 'D', 'B']",True
5,dev-data/mutual/dev/dev_103.txt,B,D,"['B', 'C', 'D', 'A']",False
6,dev-data/mutual/dev/dev_104.txt,A,D,"['A', 'B', 'D', 'C']",False
7,dev-data/mutual/dev/dev_105.txt,A,D,"['A', 'B', 'C', 'D']",False
8,dev-data/mutual/dev/dev_106.txt,C,C,"['C', 'B', 'A', 'D']",True
9,dev-data/mutual/dev/dev_107.txt,C,B,"['C', 'B', 'A', 'D']",False
10,dev-data/mutual/dev/dev_108.txt,D,A,"['D', 'A', 'B', 'C']",False
11,dev-data/mutual/dev/dev_109.txt,B,D,"['B', 'A', 'D', 'C']",False
12,dev-data/mutual/dev/dev_11.txt,D,A,"['D', 'B', 'A', 'C']",False
13,dev-data/mutual/dev/dev_110.txt,A,A,"['A', 'C', 'B', 'D']",True
14,dev-data/mutual/dev/dev_111.txt,A,D,"['A', 'C', 'B', 'D']",False
15,dev-data/mutual/dev/dev_112.txt,B,B,"['B', 'A', 'D', 'C']",True
16,dev-data/mutual/dev/dev_113.txt,B,A,"['B', 'C', 'A', 'D']",False
17,dev-data/mutual/dev/dev_114.txt,C,B,"['C', 'A', 'D', 'B']",False
18,dev-data/mutual/dev/dev_115.txt,D,D,"['D', 'B', 'A', 'C']",True
19,dev-data/mutual/dev/dev_116.txt,B,B,"['B', 'A', 'C', 'D']",True
20,dev-data/mutual/dev/dev_117.txt,C,D,"['C', 'A', 'B', 'D']",False
21,dev-data/mutual/dev/dev_118.txt,D,C,"['D', 'C', 'A', 'B']",False
22,dev-data/mutual/dev/dev_119.txt,C,A,"['C', 'D', 'A', 'B']",False
23,dev-data/mutual/dev/dev_12.txt,D,A,"['D', 'C', 'B', 'A']",False
24,dev-data/mutual/dev/dev_120.txt,C,A,"['C', 'B', 'D', 'A']",False
25,dev-data/mutual/dev/dev_121.txt,B,C,"['B', 'A', 'C', 'D']",False
26,dev-data/mutual/dev/dev_122.txt,A,C,"['A', 'B', 'C', 'D']",False
27,dev-data/mutual/dev/dev_123.txt,B,B,"['B', 'A', 'C', 'D']",True
28,dev-data/mutual/dev/dev_124.txt,B,A,"['B', 'A', 'D', 'C']",False
29,dev-data/mutual/dev/dev_125.txt,C,D,"['C', 'D', 'A', 'B']",False
30,dev-data/mutual/dev/dev_126.txt,C,A,"['C', 'D', 'A', 'B']",False
31,dev-data/mutual/dev/dev_127.txt,C,A,"['C', 'B', 'A', 'D']",False
32,dev-data/mutual/dev/dev_128.txt,D,B,"['D', 'A', 'B', 'C']",False
33,dev-data/mutual/dev/dev_129.txt,C,C,"['C', 'A', 'D', 'B']",True
34,dev-data/mutual/dev/dev_13.txt,B,D,"['B', 'A', 'D', 'C']",False
35,dev-data/mutual/dev/dev_130.txt,A,B,"['A', 'C', 'D', 'B']",False
36,dev-data/mutual/dev/dev_131.txt,C,A,"['C', 'D', 'A', 'B']",False
37,dev-data/mutual/dev/dev_132.txt,C,A,"['C', 'A', 'D', 'B']",False
38,dev-data/mutual/dev/dev_133.txt,A,D,"['A', 'B', 'C', 'D']",False
39,dev-data/mutual/dev/dev_134.txt,C,D,"['C', 'B', 'A', 'D']",False
40,dev-data/mutual/dev/dev_135.txt,D,D,"['D', 'C', 'A', 'B']",True
41,dev-data/mutual/dev/dev_136.txt,C,B,"['C', 'D', 'B', 'A']",False
42,dev-data/mutual/dev/dev_137.txt,A,B,"['A', 'D', 'B', 'C']",False
43,dev-data/mutual/dev/dev_138.txt,C,D,"['C', 'A', 'B', 'D']",False
44,dev-data/mutual/dev/dev_139.txt,D,D,"['D', 'A', 'C', 'B']",True
45,dev-data/mutual/dev/dev_14.txt,A,C,"['A', 'D', 'C', 'B']",False
46,dev-data/mutual/dev/dev_140.txt,C,C,"['C', 'D', 'B', 'A']",True
47,dev-data/mutual/dev/dev_141.txt,A,B,"['A', 'D', 'C', 'B']",False
48,dev-data/mutual/dev/dev_142.txt,B,C,"['B', 'A', 'D', 'C']",False
49,dev-data/mutual/dev/dev_143.txt,B,A,"['B', 'C', 'A', 'D']",False
50,dev-data/mutual/dev/dev_144.txt,D,D,"['D', 'B', 'A', 'C']",True
51,dev-data/mutual/dev/dev_145.txt,D,D,"['D', 'A', 'C', 'B']",True
52,dev-data/mutual/dev/dev_146.txt,C,A,"['C', 'A', 'B', 'D']",False
53,dev-data/mutual/dev/dev_147.txt,B,A,"['B', 'A', 'D', 'C']",False
54,dev-data/mutual/dev/dev_148.txt,D,C,"['D', 'B', 'A', 'C']",False
55,dev-data/mutual/dev/dev_149.txt,A,B,"['A', 'D', 'C', 'B']",False
56,dev-data/mutual/dev/dev_15.txt,D,D,"['D', 'C', 'A', 'B']",True
57,dev-data/mutual/dev/dev_150.txt,B,C,"['B', 'C', 'D', 'A']",False
58,dev-data/mutual/dev/dev_151.txt,A,B,"['A', 'D', 'B', 'C']",False
59,dev-data/mutual/dev/dev_152.txt,A,A,"['A', 'D', 'C', 'B']",True
60,dev-data/mutual/dev/dev_153.txt,C,B,"['C', 'B', 'A', 'D']",False
61,dev-data/mutual/dev/dev_154.txt,B,D,"['B', 'D', 'C', 'A']",False
62,dev-data/mutual/dev/dev_155.txt,C,A,"['C', 'D', 'A', 'B']",False
63,dev-data/mutual/dev/dev_156.txt,D,C,"['D', 'C', 'A', 'B']",False
64,dev-data/mutual/dev/dev_157.txt,D,D,"['D', 'C', 'B', 'A']",True
65,dev-data/mutual/dev/dev_158.txt,C,D,"['C', 'A', 'D', 'B']",False
66,dev-data/mutual/dev/dev_159.txt,B,D,"['B', 'C', 'A', 'D']",False
67,dev-data/mutual/dev/dev_16.txt,C,A,"['C', 'A', 'B', 'D']",False
68,dev-data/mutual/dev/dev_160.txt,A,D,"['A', 'C', 'B', 'D']",False
69,dev-data/mutual/dev/dev_161.txt,A,B,"['A', 'D', 'B', 'C']",False
70,dev-data/mutual/dev/dev_162.txt,C,A,"['C', 'D', 'B', 'A']",False
71,dev-data/mutual/dev/dev_163.txt,B,A,"['B', 'D', 'A', 'C']",False
72,dev-data/mutual/dev/dev_164.txt,A,C,"['A', 'B', 'C', 'D']",False
73,dev-data/mutual/dev/dev_165.txt,A,D,"['A', 'C', 'B', 'D']",False
74,dev-data/mutual/dev/dev_166.txt,B,B,"['B', 'A', 'C', 'D']",True
75,dev-data/mutual/dev/dev_167.txt,C,B,"['C', 'B', 'D', 'A']",False
76,dev-data/mutual/dev/dev_168.txt,D,A,"['D', 'C', 'A', 'B']",False
77,dev-data/mutual/dev/dev_169.txt,D,C,"['D', 'A', 'B', 'C']",False
78,dev-data/mutual/dev/dev_17.txt,B,B,"['B', 'A', 'D', 'C']",True
79,dev-data/mutual/dev/dev_170.txt,B,B,"['B', 'D', 'A', 'C']",True
80,dev-data/mutual/dev/dev_171.txt,A,C,"['A', 'C', 'B', 'D']",False
81,dev-data/mutual/dev/dev_172.txt,A,D,"['A', 'B', 'D', 'C']",False
82,dev-data/mutual/dev/dev_173.txt,B,C,"['B', 'D', 'C', 'A']",False
83,dev-data/mutual/dev/dev_174.txt,D,D,"['D', 'B', 'C', 'A']",True
84,dev-data/mutual/dev/dev_175.txt,D,D,"['D', 'C', 'A', 'B']",True
85,dev-data/mutual/dev/dev_176.txt,A,C,"['A', 'D', 'B', 'C']",False
86,dev-data/mutual/dev/dev_177.txt,A,B,"['A', 'D', 'B', 'C']",False
87,dev-data/mutual/dev/dev_178.txt,D,A,"['D', 'A', 'B', 'C']",False
88,dev-data/mutual/dev/dev_179.txt,B,A,"['B', 'C', 'D', 'A']",False
89,dev-data/mutual/dev/dev_18.txt,A,D,"['A', 'D', 'B', 'C']",False
90,dev-data/mutual/dev/dev_180.txt,A,C,"['A', 'C', 'B', 'D']",False
91,dev-data/mutual/dev/dev_181.txt,C,D,"['C', 'A', 'D', 'B']",False
92,dev-data/mutual/dev/dev_182.txt,A,B,"['A', 'C', 'B', 'D']",False
93,dev-data/mutual/dev/dev_183.txt,D,D,"['D', 'A', 'B', 'C']",True
94,dev-data/mutual/dev/dev_184.txt,A,B,"['A', 'D', 'C', 'B']",False
95,dev-data/mutual/dev/dev_185.txt,D,B,"['D', 'A', 'C', 'B']",False
96,dev-data/mutual/dev/dev_186.txt,B,C,"['B', 'C', 'A', 'D']",False
97,dev-data/mutual/dev/dev_187.txt,C,A,"['C', 'B', 'D', 'A']",False
98,dev-data/mutual/dev/dev_188.txt,D,D,"['D', 'B', 'A', 'C']",True
99,dev-data/mutual/dev/dev_189.txt,D,D,"['D', 'C', 'B', 'A']",True
100,dev-data/mutual/dev/dev_19.txt,B,C,"['B', 'C', 'A', 'D']",False
