,example_id,predicted_label,real_label,full_ordering,correct
0,dev-data/mutual/dev/dev_1.txt,C,B,"['C', 'D', 'B', 'A']",False
1,dev-data/mutual/dev/dev_10.txt,A,C,"['A', 'D', 'C', 'B']",False
2,dev-data/mutual/dev/dev_100.txt,A,C,"['A', 'B', 'D', 'C']",False
3,dev-data/mutual/dev/dev_101.txt,C,D,"['C', 'A', 'B', 'D']",False
4,dev-data/mutual/dev/dev_102.txt,D,A,"['D', 'A', 'C', 'B']",False
5,dev-data/mutual/dev/dev_103.txt,A,D,"['A', 'C', 'D', 'B']",False
6,dev-data/mutual/dev/dev_104.txt,D,D,"['D', 'A', 'C', 'B']",True
7,dev-data/mutual/dev/dev_105.txt,A,D,"['A', 'C', 'B', 'D']",False
8,dev-data/mutual/dev/dev_106.txt,C,C,"['C', 'B', 'A', 'D']",True
9,dev-data/mutual/dev/dev_107.txt,D,B,"['D', 'B', 'A', 'C']",False
10,dev-data/mutual/dev/dev_108.txt,A,A,"['A', 'B', 'D', 'C']",True
11,dev-data/mutual/dev/dev_109.txt,A,D,"['A', 'B', 'C', 'D']",False
12,dev-data/mutual/dev/dev_11.txt,C,A,"['C', 'B', 'D', 'A']",False
13,dev-data/mutual/dev/dev_110.txt,C,A,"['C', 'B', 'A', 'D']",False
14,dev-data/mutual/dev/dev_111.txt,B,D,"['B', 'C', 'A', 'D']",False
15,dev-data/mutual/dev/dev_112.txt,C,B,"['C', 'D', 'A', 'B']",False
16,dev-data/mutual/dev/dev_113.txt,B,A,"['B', 'D', 'C', 'A']",False
17,dev-data/mutual/dev/dev_114.txt,A,B,"['A', 'D', 'C', 'B']",False
18,dev-data/mutual/dev/dev_115.txt,D,D,"['D', 'C', 'A', 'B']",True
19,dev-data/mutual/dev/dev_116.txt,D,B,"['D', 'B', 'A', 'C']",False
20,dev-data/mutual/dev/dev_117.txt,B,D,"['B', 'C', 'D', 'A']",False
21,dev-data/mutual/dev/dev_118.txt,A,C,"['A', 'C', 'B', 'D']",False
22,dev-data/mutual/dev/dev_119.txt,D,A,"['D', 'B', 'C', 'A']",False
23,dev-data/mutual/dev/dev_12.txt,B,A,"['B', 'D', 'A', 'C']",False
24,dev-data/mutual/dev/dev_120.txt,D,A,"['D', 'C', 'A', 'B']",False
25,dev-data/mutual/dev/dev_121.txt,B,C,"['B', 'D', 'A', 'C']",False
26,dev-data/mutual/dev/dev_122.txt,B,C,"['B', 'D', 'C', 'A']",False
27,dev-data/mutual/dev/dev_123.txt,A,B,"['A', 'B', 'D', 'C']",False
28,dev-data/mutual/dev/dev_124.txt,B,A,"['B', 'D', 'C', 'A']",False
29,dev-data/mutual/dev/dev_125.txt,B,D,"['B', 'C', 'A', 'D']",False
30,dev-data/mutual/dev/dev_126.txt,D,A,"['D', 'A', 'B', 'C']",False
31,dev-data/mutual/dev/dev_127.txt,D,A,"['D', 'C', 'B', 'A']",False
32,dev-data/mutual/dev/dev_128.txt,A,B,"['A', 'D', 'C', 'B']",False
33,dev-data/mutual/dev/dev_129.txt,C,C,"['C', 'B', 'D', 'A']",True
34,dev-data/mutual/dev/dev_13.txt,D,D,"['D', 'B', 'C', 'A']",True
35,dev-data/mutual/dev/dev_130.txt,D,B,"['D', 'C', 'A', 'B']",False
36,dev-data/mutual/dev/dev_131.txt,B,A,"['B', 'A', 'C', 'D']",False
37,dev-data/mutual/dev/dev_132.txt,A,A,"['A', 'C', 'D', 'B']",True
38,dev-data/mutual/dev/dev_133.txt,D,D,"['D', 'C', 'B', 'A']",True
39,dev-data/mutual/dev/dev_134.txt,A,D,"['A', 'B', 'C', 'D']",False
40,dev-data/mutual/dev/dev_135.txt,B,D,"['B', 'A', 'C', 'D']",False
41,dev-data/mutual/dev/dev_136.txt,B,B,"['B', 'C', 'D', 'A']",True
42,dev-data/mutual/dev/dev_137.txt,B,B,"['B', 'A', 'D', 'C']",True
43,dev-data/mutual/dev/dev_138.txt,B,D,"['B', 'C', 'D', 'A']",False
44,dev-data/mutual/dev/dev_139.txt,B,D,"['B', 'A', 'D', 'C']",False
45,dev-data/mutual/dev/dev_14.txt,D,C,"['D', 'B', 'A', 'C']",False
46,dev-data/mutual/dev/dev_140.txt,D,C,"['D', 'C', 'A', 'B']",False
47,dev-data/mutual/dev/dev_141.txt,C,B,"['C', 'A', 'D', 'B']",False
48,dev-data/mutual/dev/dev_142.txt,D,C,"['D', 'C', 'B', 'A']",False
49,dev-data/mutual/dev/dev_143.txt,B,A,"['B', 'A', 'D', 'C']",False
50,dev-data/mutual/dev/dev_144.txt,B,D,"['B', 'A', 'C', 'D']",False
51,dev-data/mutual/dev/dev_145.txt,D,D,"['D', 'B', 'C', 'A']",True
52,dev-data/mutual/dev/dev_146.txt,C,A,"['C', 'A', 'B', 'D']",False
53,dev-data/mutual/dev/dev_147.txt,B,A,"['B', 'D', 'C', 'A']",False
54,dev-data/mutual/dev/dev_148.txt,D,C,"['D', 'C', 'A', 'B']",False
55,dev-data/mutual/dev/dev_149.txt,C,B,"['C', 'A', 'D', 'B']",False
56,dev-data/mutual/dev/dev_15.txt,B,D,"['B', 'C', 'A', 'D']",False
57,dev-data/mutual/dev/dev_150.txt,B,C,"['B', 'A', 'D', 'C']",False
58,dev-data/mutual/dev/dev_151.txt,B,B,"['B', 'C', 'A', 'D']",True
59,dev-data/mutual/dev/dev_152.txt,B,A,"['B', 'A', 'C', 'D']",False
60,dev-data/mutual/dev/dev_153.txt,D,B,"['D', 'C', 'A', 'B']",False
61,dev-data/mutual/dev/dev_154.txt,A,D,"['A', 'C', 'B', 'D']",False
62,dev-data/mutual/dev/dev_155.txt,D,A,"['D', 'C', 'B', 'A']",False
63,dev-data/mutual/dev/dev_156.txt,A,C,"['A', 'D', 'C', 'B']",False
64,dev-data/mutual/dev/dev_157.txt,B,D,"['B', 'A', 'C', 'D']",False
65,dev-data/mutual/dev/dev_158.txt,D,D,"['D', 'C', 'B', 'A']",True
