,example_id,predicted_label,real_label,full_ordering,correct
0,dev-data/mutual/dev/dev_1.txt,A,B,"['A', 'B', 'C', 'D']",False
1,dev-data/mutual/dev/dev_10.txt,A,C,"['A', 'D', 'C', 'B']",False
2,dev-data/mutual/dev/dev_100.txt,A,C,"['A', 'C', 'B', 'D']",False
3,dev-data/mutual/dev/dev_101.txt,D,D,"['D', 'B', 'C', 'A']",True
4,dev-data/mutual/dev/dev_102.txt,C,A,"['C', 'A', 'B', 'D']",False
5,dev-data/mutual/dev/dev_103.txt,C,D,"['C', 'A', 'B', 'D']",False
6,dev-data/mutual/dev/dev_104.txt,B,D,"['B', 'A', 'C', 'D']",False
7,dev-data/mutual/dev/dev_105.txt,B,D,"['B', 'A', 'D', 'C']",False
8,dev-data/mutual/dev/dev_106.txt,B,C,"['B', 'D', 'C', 'A']",False
9,dev-data/mutual/dev/dev_107.txt,C,B,"['C', 'A', 'B', 'D']",False
10,dev-data/mutual/dev/dev_108.txt,D,A,"['D', 'B', 'A', 'C']",False
11,dev-data/mutual/dev/dev_109.txt,B,D,"['B', 'A', 'D', 'C']",False
12,dev-data/mutual/dev/dev_11.txt,C,A,"['C', 'A', 'D', 'B']",False
13,dev-data/mutual/dev/dev_110.txt,C,A,"['C', 'A', 'B', 'D']",False
14,dev-data/mutual/dev/dev_111.txt,B,D,"['B', 'A', 'C', 'D']",False
15,dev-data/mutual/dev/dev_112.txt,C,B,"['C', 'B', 'A', 'D']",False
16,dev-data/mutual/dev/dev_113.txt,B,A,"['B', 'A', 'C', 'D']",False
17,dev-data/mutual/dev/dev_114.txt,B,B,"['B', 'D', 'A', 'C']",True
18,dev-data/mutual/dev/dev_115.txt,B,D,"['B', 'A', 'D', 'C']",False
19,dev-data/mutual/dev/dev_116.txt,C,B,"['C', 'D', 'A', 'B']",False
20,dev-data/mutual/dev/dev_117.txt,D,D,"['D', 'A', 'B', 'C']",True
21,dev-data/mutual/dev/dev_118.txt,B,C,"['B', 'D', 'A', 'C']",False
22,dev-data/mutual/dev/dev_119.txt,D,A,"['D', 'C', 'B', 'A']",False
23,dev-data/mutual/dev/dev_12.txt,B,A,"['B', 'D', 'C', 'A']",False
24,dev-data/mutual/dev/dev_120.txt,C,A,"['C', 'B', 'A', 'D']",False
25,dev-data/mutual/dev/dev_121.txt,B,C,"['B', 'A', 'C', 'D']",False
26,dev-data/mutual/dev/dev_122.txt,B,C,"['B', 'C', 'A', 'D']",False
27,dev-data/mutual/dev/dev_123.txt,A,B,"['A', 'C', 'B', 'D']",False
28,dev-data/mutual/dev/dev_124.txt,B,A,"['B', 'C', 'A', 'D']",False
