,example_id,predicted_label,real_label,full_ordering,correct
0,dev-data/mutual/dev/dev_1.txt,D,B,"['D', 'C', 'A', 'B']",False
1,dev-data/mutual/dev/dev_10.txt,C,C,"['C', 'D', 'A', 'B']",True
2,dev-data/mutual/dev/dev_100.txt,D,C,"['D', 'C', 'A', 'B']",False
3,dev-data/mutual/dev/dev_101.txt,D,D,"['D', 'B', 'C', 'A']",True
4,dev-data/mutual/dev/dev_102.txt,B,A,"['B', 'A', 'C', 'D']",False
5,dev-data/mutual/dev/dev_103.txt,A,D,"['A', 'C', 'B', 'D']",False
6,dev-data/mutual/dev/dev_104.txt,A,D,"['A', 'D', 'C', 'B']",False
7,dev-data/mutual/dev/dev_105.txt,B,D,"['B', 'C', 'A', 'D']",False
8,dev-data/mutual/dev/dev_106.txt,B,C,"['B', 'D', 'A', 'C']",False
9,dev-data/mutual/dev/dev_107.txt,C,B,"['C', 'A', 'D', 'B']",False
10,dev-data/mutual/dev/dev_108.txt,D,A,"['D', 'C', 'A', 'B']",False
11,dev-data/mutual/dev/dev_109.txt,C,D,"['C', 'B', 'D', 'A']",False
12,dev-data/mutual/dev/dev_11.txt,C,A,"['C', 'A', 'B', 'D']",False
13,dev-data/mutual/dev/dev_110.txt,C,A,"['C', 'A', 'D', 'B']",False
14,dev-data/mutual/dev/dev_111.txt,A,D,"['A', 'B', 'D', 'C']",False
15,dev-data/mutual/dev/dev_112.txt,C,B,"['C', 'D', 'B', 'A']",False
16,dev-data/mutual/dev/dev_113.txt,C,A,"['C', 'A', 'B', 'D']",False
17,dev-data/mutual/dev/dev_114.txt,A,B,"['A', 'D', 'B', 'C']",False
18,dev-data/mutual/dev/dev_115.txt,A,D,"['A', 'B', 'D', 'C']",False
19,dev-data/mutual/dev/dev_116.txt,A,B,"['A', 'C', 'D', 'B']",False
20,dev-data/mutual/dev/dev_117.txt,B,D,"['B', 'D', 'A', 'C']",False
21,dev-data/mutual/dev/dev_118.txt,C,C,"['C', 'B', 'D', 'A']",True
22,dev-data/mutual/dev/dev_119.txt,D,A,"['D', 'A', 'B', 'C']",False
23,dev-data/mutual/dev/dev_12.txt,C,A,"['C', 'D', 'B', 'A']",False
24,dev-data/mutual/dev/dev_120.txt,D,A,"['D', 'A', 'C', 'B']",False
25,dev-data/mutual/dev/dev_121.txt,D,C,"['D', 'C', 'A', 'B']",False
26,dev-data/mutual/dev/dev_122.txt,C,C,"['C', 'B', 'D', 'A']",True
27,dev-data/mutual/dev/dev_123.txt,A,B,"['A', 'B', 'C', 'D']",False
28,dev-data/mutual/dev/dev_124.txt,B,A,"['B', 'D', 'A', 'C']",False
29,dev-data/mutual/dev/dev_125.txt,A,D,"['A', 'D', 'C', 'B']",False
30,dev-data/mutual/dev/dev_126.txt,C,A,"['C', 'B', 'A', 'D']",False
31,dev-data/mutual/dev/dev_127.txt,A,A,"['A', 'C', 'D', 'B']",True
32,dev-data/mutual/dev/dev_128.txt,D,B,"['D', 'A', 'C', 'B']",False
33,dev-data/mutual/dev/dev_129.txt,C,C,"['C', 'D', 'B', 'A']",True
34,dev-data/mutual/dev/dev_13.txt,C,D,"['C', 'D', 'B', 'A']",False
35,dev-data/mutual/dev/dev_130.txt,D,B,"['D', 'A', 'B', 'C']",False
36,dev-data/mutual/dev/dev_131.txt,D,A,"['D', 'C', 'B', 'A']",False
37,dev-data/mutual/dev/dev_132.txt,D,A,"['D', 'A', 'B', 'C']",False
38,dev-data/mutual/dev/dev_133.txt,A,D,"['A', 'C', 'B', 'D']",False
39,dev-data/mutual/dev/dev_134.txt,D,D,"['D', 'A', 'C', 'B']",True
40,dev-data/mutual/dev/dev_135.txt,B,D,"['B', 'D', 'C', 'A']",False
41,dev-data/mutual/dev/dev_136.txt,A,B,"['A', 'B', 'D', 'C']",False
42,dev-data/mutual/dev/dev_137.txt,C,B,"['C', 'A', 'D', 'B']",False
43,dev-data/mutual/dev/dev_138.txt,B,D,"['B', 'C', 'A', 'D']",False
44,dev-data/mutual/dev/dev_139.txt,B,D,"['B', 'A', 'C', 'D']",False
45,dev-data/mutual/dev/dev_14.txt,C,C,"['C', 'A', 'B', 'D']",True
46,dev-data/mutual/dev/dev_140.txt,B,C,"['B', 'A', 'D', 'C']",False
47,dev-data/mutual/dev/dev_141.txt,A,B,"['A', 'C', 'D', 'B']",False
48,dev-data/mutual/dev/dev_142.txt,B,C,"['B', 'A', 'C', 'D']",False
49,dev-data/mutual/dev/dev_143.txt,C,A,"['C', 'B', 'A', 'D']",False
50,dev-data/mutual/dev/dev_144.txt,B,D,"['B', 'D', 'C', 'A']",False
51,dev-data/mutual/dev/dev_145.txt,D,D,"['D', 'A', 'B', 'C']",True
52,dev-data/mutual/dev/dev_146.txt,C,A,"['C', 'A', 'D', 'B']",False
53,dev-data/mutual/dev/dev_147.txt,C,A,"['C', 'B', 'A', 'D']",False
54,dev-data/mutual/dev/dev_148.txt,C,C,"['C', 'B', 'D', 'A']",True
55,dev-data/mutual/dev/dev_149.txt,D,B,"['D', 'A', 'B', 'C']",False
56,dev-data/mutual/dev/dev_15.txt,C,D,"['C', 'D', 'B', 'A']",False
57,dev-data/mutual/dev/dev_150.txt,A,C,"['A', 'B', 'D', 'C']",False
58,dev-data/mutual/dev/dev_151.txt,A,B,"['A', 'C', 'B', 'D']",False
59,dev-data/mutual/dev/dev_152.txt,C,A,"['C', 'A', 'D', 'B']",False
60,dev-data/mutual/dev/dev_153.txt,D,B,"['D', 'C', 'A', 'B']",False
61,dev-data/mutual/dev/dev_154.txt,C,D,"['C', 'A', 'B', 'D']",False
62,dev-data/mutual/dev/dev_155.txt,B,A,"['B', 'A', 'D', 'C']",False
63,dev-data/mutual/dev/dev_156.txt,B,C,"['B', 'A', 'C', 'D']",False
64,dev-data/mutual/dev/dev_157.txt,A,D,"['A', 'B', 'C', 'D']",False
65,dev-data/mutual/dev/dev_158.txt,C,D,"['C', 'A', 'B', 'D']",False
